timestamp	phase	worker	class_name	block	seed	task	sub_task	steps	termination_status	source	agent_dir	agent_pos	reward	action_space	observation_space
20200225T175824.886300	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2853411545	189	0	9	DONE	NEXT	1	[4 4]	0.94375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.903347	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1782227121	191	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.964018	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	869514370	192	0	23	DONE	NEXT	1	[4 4]	0.85625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175824.981006	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3838880776	194	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.014250	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3251319852	195	0	17	DONE	NEXT	0	[4 4]	0.89375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.040758	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2523841829	196	0	11	DONE	NEXT	1	[4 4]	0.93125	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.083714	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1328160903	198	0	25	DONE	NEXT	1	[4 4]	0.84375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.102561	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2096760071	199	0	8	DONE	NEXT	1	[4 4]	0.95	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.413869	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	2848774520	200	0	49	DONE	NEXT	0	[4 4]	0.69375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.442185	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	796974	202	0	12	DONE	NEXT	0	[4 4]	0.925	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.498072	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	662283932	204	0	31	DONE	NEXT	1	[4 4]	0.80625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.519126	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3360818503	206	0	7	DONE	NEXT	1	[4 4]	0.95625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.562303	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1528734316	208	0	20	DONE	NEXT	1	[4 4]	0.875	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.598428	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1533812953	210	0	15	DONE	NEXT	1	[4 4]	0.90625	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.618989	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	307734155	212	0	8	DONE	NEXT	1	[4 4]	0.95	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.649222	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1654013272	213	0	10	DONE	NEXT	1	[4 4]	0.9375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.712684	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	3197179893	215	0	33	DONE	NEXT	0	[4 4]	0.79375	Discrete(7)	Dict(image:Box(7, 7, 3))
20200225T175825.984498	1.train	env-1	minigridkit_minigridkit_minigrid6x6	0	1212846706	217	0	29	DONE	NEXT	0	[4 4]	0.81875	Discrete(7)	Dict(image:Box(7, 7, 3))
